,task_type,domain,criteria_name,criteria_description,rubrics,rubrics_example
25,Интерпретация текста (субъективная оценка),Публицистический,Глубина проработки ответа,"Данный критерий оценивает, насколько глубокий и проработанный ответ выдает модель (в зависимости от запроса пользователя):
— Модель демонстрирует глубокое погружение в тему и всестороннее ее освещение, при этом использует достоверные источники и приводит статистику (если применимо).
— Модель не просто излагает факты, а использует навыки анализа и интерпретации и гарантирует, что результат убедителен, интересен и отражает все точки зрения на проблему (если иное не предусмотрено запросом или жанром).

Уточнения по отдельным типам задач:
А. Если задача — объективный анализ текста или интерпретация текста, то оценивается глубина анализа/интерпретации:
Это уровень проработки и детализации, с которым модель исследует содержание текста. Этот параметр оценивает способность модели выявлять подтексты, контексты и сложные взаимосвязи между идеями. В качестве параметров могут выступать: 
    — Выявление подтекстов (модель должна распознавать скрытые смыслы и подтексты, которые не выражены напрямую, но имеют значение для полного понимания текста).
    — Контекстуализация (способность учитывать широкий контекст — культурные, исторические, социальные или политические аспекты, которые могут влиять на интерпретацию текста).
    — Анализ структуры (модель должна анализировать структуру текста (например, аргументацию, использование риторических приемов) и оценивать, как эти элементы влияют на общее восприятие содержания).
    — Сравнительный анализ (умение сопоставлять текст с другими источниками или идеями для более глубокого понимания).

Б. Если задача — придумать вопрос к тексту, то оценивается глубина вопроса:
То, насколько глубоко вопрос проникает в содержание текста, требуя для ответа не просто прямого извлечения информации, а ее обобщения, интерпретации или установления связей между различными частями текста.

ВНИМАНИЕ: в этом критерии мы НЕ учитываем наличие избыточной информации («воды»), поскольку в тексте могут быть одновременно глубокая проработка и «вода».
Также не все задачи требуют глубины проработки: в таком случае следует выбрать «Неприменимо».","0: Модель выполнила запрос, но ответ поверхностный, неглубокий, с очень слабой степенью проработки.

1: Модель демонстрирует приемлемую степень проработки, но ответу не хватает глубины, некоторых деталей или точек зрения.

2: Ответ модели отлично проработан, есть разные точки зрения, есть глубина, анализ и достаточно деталей.",
26,Дать совет,Общее,Глубина проработки ответа,"Данный критерий оценивает, что модель:
— Дает подробный, развернутый, исчерпывающий (но не избыточный) ответ.
— Обосновывает советы и рекомендации. ","0: Ответ модели размытый и общий, не содержит конкретики и/или не завершен.
 
1: Ответ выглядит развернутым и завершенным, но есть пробелы в деталях и/или избыточная информация.

2: Исчерпывающий детальный ответ, не содержит ни пробелов в деталях, ни лишней информации.",
27,Оценить текст,Научный,Глубина проработки ответа,"Данный критерий оценивает способность модели глубоко экспертно погружаться в тему и прорабатывать ее.
Приветствуются максимальная глубина и информативность, но в рамках специфики, за которые ответ выходить не должен. Если жанр не предполагает ограничений, то чем выше экспертный уровень, тем лучше.

Уточнения по отдельным типам задач:
А. Если задача — объективный анализ текста или интерпретация текста, то оценивается глубина анализа/интерпретации:
Это уровень проработки и детализации, с которым модель исследует содержание текста. Этот параметр оценивает способность модели выявлять подтексты, контексты и сложные взаимосвязи между идеями. В качестве параметров могут выступать: 
    — Выявление подтекстов (модель должна распознавать скрытые смыслы и подтексты, которые не выражены напрямую, но имеют значение для полного понимания текста).
    — Контекстуализация (способность учитывать широкий контекст — культурные, исторические, социальные или политические аспекты, которые могут влиять на интерпретацию текста).
    — Анализ структуры (модель должна анализировать структуру текста (например, аргументацию, использование риторических приемов) и оценивать, как эти элементы влияют на общее восприятие содержания).
    — Сравнительный анализ (умение сопоставлять текст с другими источниками или идеями для более глубокого понимания).

Б. Если задача — придумать вопрос к тексту, то оценивается глубина вопроса:
То, насколько глубоко вопрос проникает в содержание текста, требуя для ответа не просто прямого извлечения информации, а ее обобщения, интерпретации или установления связей между различными частями текста.

ВНИМАНИЕ: в этом критерии мы НЕ учитываем наличие избыточной информации («воды»), поскольку в тексте могут быть одновременно глубокая проработка и «вода».
Также не все задачи требуют глубины проработки: в таком случае следует выбрать «Неприменимо».","0: Ответ поверхностный: модель выдала неглубокий ответ, с очень слабой степенью проработки.

1: Ответ неглубокий, но приемлемый: модель демонстрирует приемлемую степень проработки, но ответу не хватает глубины и/или детализации.

2: Модель выдает отличный, проработанный ответ:
      — Модель демонстрирует всестороннее исследование темы.
      — Модель выдает ответ с необходимой степенью детализации и, если требуется, анализа.",
28,Дать рекомендации,Общее,Глубина проработки ответа,"Данный критерий оценивает, что модель:
— Дает подробный, развернутый, исчерпывающий (но не избыточный) ответ.
— Обосновывает советы и рекомендации. ","0: Ответ модели размытый и общий, не содержит конкретики и/или не завершен.
 
1: Ответ выглядит развернутым и завершенным, но есть пробелы в деталях и/или избыточная информация.

2: Исчерпывающий детальный ответ, не содержит ни пробелов в деталях, ни лишней информации.",
29,Суммаризация,Научный,Глубина проработки ответа,"Данный критерий оценивает способность модели глубоко экспертно погружаться в тему и прорабатывать ее.
Приветствуются максимальная глубина и информативность, но в рамках специфики, за которые ответ выходить не должен. Если жанр не предполагает ограничений, то чем выше экспертный уровень, тем лучше.

Уточнения по отдельным типам задач:
А. Если задача — объективный анализ текста или интерпретация текста, то оценивается глубина анализа/интерпретации:
Это уровень проработки и детализации, с которым модель исследует содержание текста. Этот параметр оценивает способность модели выявлять подтексты, контексты и сложные взаимосвязи между идеями. В качестве параметров могут выступать: 
    — Выявление подтекстов (модель должна распознавать скрытые смыслы и подтексты, которые не выражены напрямую, но имеют значение для полного понимания текста).
    — Контекстуализация (способность учитывать широкий контекст — культурные, исторические, социальные или политические аспекты, которые могут влиять на интерпретацию текста).
    — Анализ структуры (модель должна анализировать структуру текста (например, аргументацию, использование риторических приемов) и оценивать, как эти элементы влияют на общее восприятие содержания).
    — Сравнительный анализ (умение сопоставлять текст с другими источниками или идеями для более глубокого понимания).

Б. Если задача — придумать вопрос к тексту, то оценивается глубина вопроса:
То, насколько глубоко вопрос проникает в содержание текста, требуя для ответа не просто прямого извлечения информации, а ее обобщения, интерпретации или установления связей между различными частями текста.

ВНИМАНИЕ: в этом критерии мы НЕ учитываем наличие избыточной информации («воды»), поскольку в тексте могут быть одновременно глубокая проработка и «вода».
Также не все задачи требуют глубины проработки: в таком случае следует выбрать «Неприменимо».","0: Ответ поверхностный: модель выдала неглубокий ответ, с очень слабой степенью проработки.

1: Ответ неглубокий, но приемлемый: модель демонстрирует приемлемую степень проработки, но ответу не хватает глубины и/или детализации.

2: Модель выдает отличный, проработанный ответ:
      — Модель демонстрирует всестороннее исследование темы.
      — Модель выдает ответ с необходимой степенью детализации и, если требуется, анализа.",
30,Написать художественный текст,Художественный,Глубина проработки ответа,"Данный критерий оценивает:

1. Глубину проработки ответа модели:
— Модель должна строить развернутое повествование в рамках жанра или фрагмента: повествование/описание/рассуждение. 
— Сам ответ не должен производить впечатление конспекта, пересказа или незаконченного фрагмента. Задача модели — прорабатывать характеры, детали, вырисовывать мир. Характеры подвижны, эластичны: герои меняются. Если не меняются, то это объяснимо.

2. Этот критерий также оценивает умение модели выстраивать сюжет и вводить сюжетные элементы: последовательность событий, слаженная связь мотивов, умение лавировать между сюжетными линиями, пусть даже очерченными пунктирно, как в малых прозаических формах; умение не терять элементы сюжета и т. п.

Уточнения по отдельным типам задач:
А. Если задача — объективный анализ текста или интерпретация текста, то оценивается глубина анализа/интерпретации:
Это уровень проработки и детализации, с которым модель исследует содержание текста. Этот параметр оценивает способность модели выявлять подтексты, контексты и сложные взаимосвязи между идеями. В качестве параметров могут выступать: 
    — Выявление подтекстов (модель должна распознавать скрытые смыслы и подтексты, которые не выражены напрямую, но имеют значение для полного понимания текста).
    — Контекстуализация (способность учитывать широкий контекст — культурные, исторические, социальные или политические аспекты, которые могут влиять на интерпретацию текста).
    — Анализ структуры (модель должна анализировать структуру текста (например, аргументацию, использование риторических приемов) и оценивать, как эти элементы влияют на общее восприятие содержания).
    — Сравнительный анализ (умение сопоставлять текст с другими источниками или идеями для более глубокого понимания).

Б. Если задача — придумать вопрос к тексту, то оценивается глубина вопроса:
То, насколько глубоко вопрос проникает в содержание текста, требуя для ответа не просто прямого извлечения информации, а ее обобщения, интерпретации или установления связей между различными частями текста.

ВНИМАНИЕ: в этом критерии мы НЕ учитываем наличие избыточной информации («воды»), поскольку в тексте могут быть одновременно глубокая проработка и «вода».","0: В ответе модели мир плоский, характеры плоские, герои пластмассовые, неживые; нет детализации художественного пространства; текст обрывается.

1: Ответ модели недостаточно детализирован; есть удачные вкрапления, внимание к деталям, но остается ощущение искусственности; текст сочетает элементы развернутого повествования и пересказа; сюжет выстроен, но не выдержан, модель теряет контекст.

2: Ответ модели полный, развернутый, без конспекта и немотивированных скачков; характеры проработаны, мир прописан согласно установкам жанра.","Примеры проработки на 2 балла:
Если рассказ — уровень проработки, развернутости, детализации как: Бунин, Чехов, Довлатов, Казаков и др.
Если повесть — как Толстой, Гоголь, Булгаков, Куприн, Лесков и др."
31,Прикладной брейншторминг,Публицистический,Глубина проработки ответа,"Данный критерий оценивает, насколько глубокий и проработанный ответ выдает модель (в зависимости от запроса пользователя):
— Модель демонстрирует глубокое погружение в тему и всестороннее ее освещение, при этом использует достоверные источники и приводит статистику (если применимо).
— Модель не просто излагает факты, а использует навыки анализа и интерпретации и гарантирует, что результат убедителен, интересен и отражает все точки зрения на проблему (если иное не предусмотрено запросом или жанром).

Уточнения по отдельным типам задач:
А. Если задача — объективный анализ текста или интерпретация текста, то оценивается глубина анализа/интерпретации:
Это уровень проработки и детализации, с которым модель исследует содержание текста. Этот параметр оценивает способность модели выявлять подтексты, контексты и сложные взаимосвязи между идеями. В качестве параметров могут выступать: 
    — Выявление подтекстов (модель должна распознавать скрытые смыслы и подтексты, которые не выражены напрямую, но имеют значение для полного понимания текста).
    — Контекстуализация (способность учитывать широкий контекст — культурные, исторические, социальные или политические аспекты, которые могут влиять на интерпретацию текста).
    — Анализ структуры (модель должна анализировать структуру текста (например, аргументацию, использование риторических приемов) и оценивать, как эти элементы влияют на общее восприятие содержания).
    — Сравнительный анализ (умение сопоставлять текст с другими источниками или идеями для более глубокого понимания).

Б. Если задача — придумать вопрос к тексту, то оценивается глубина вопроса:
То, насколько глубоко вопрос проникает в содержание текста, требуя для ответа не просто прямого извлечения информации, а ее обобщения, интерпретации или установления связей между различными частями текста.

ВНИМАНИЕ: в этом критерии мы НЕ учитываем наличие избыточной информации («воды»), поскольку в тексте могут быть одновременно глубокая проработка и «вода».
Также не все задачи требуют глубины проработки: в таком случае следует выбрать «Неприменимо».","0: Модель выполнила запрос, но ответ поверхностный, неглубокий, с очень слабой степенью проработки.

1: Модель демонстрирует приемлемую степень проработки, но ответу не хватает глубины, некоторых деталей или точек зрения.

2: Ответ модели отлично проработан, есть разные точки зрения, есть глубина, анализ и достаточно деталей.",
32,Интерпретация текста (субъективная оценка),Научный,Глубина проработки ответа,"Данный критерий оценивает способность модели глубоко экспертно погружаться в тему и прорабатывать ее.
Приветствуются максимальная глубина и информативность, но в рамках специфики, за которые ответ выходить не должен. Если жанр не предполагает ограничений, то чем выше экспертный уровень, тем лучше.

Уточнения по отдельным типам задач:
А. Если задача — объективный анализ текста или интерпретация текста, то оценивается глубина анализа/интерпретации:
Это уровень проработки и детализации, с которым модель исследует содержание текста. Этот параметр оценивает способность модели выявлять подтексты, контексты и сложные взаимосвязи между идеями. В качестве параметров могут выступать: 
    — Выявление подтекстов (модель должна распознавать скрытые смыслы и подтексты, которые не выражены напрямую, но имеют значение для полного понимания текста).
    — Контекстуализация (способность учитывать широкий контекст — культурные, исторические, социальные или политические аспекты, которые могут влиять на интерпретацию текста).
    — Анализ структуры (модель должна анализировать структуру текста (например, аргументацию, использование риторических приемов) и оценивать, как эти элементы влияют на общее восприятие содержания).
    — Сравнительный анализ (умение сопоставлять текст с другими источниками или идеями для более глубокого понимания).

Б. Если задача — придумать вопрос к тексту, то оценивается глубина вопроса:
То, насколько глубоко вопрос проникает в содержание текста, требуя для ответа не просто прямого извлечения информации, а ее обобщения, интерпретации или установления связей между различными частями текста.

ВНИМАНИЕ: в этом критерии мы НЕ учитываем наличие избыточной информации («воды»), поскольку в тексте могут быть одновременно глубокая проработка и «вода».
Также не все задачи требуют глубины проработки: в таком случае следует выбрать «Неприменимо».","0: Ответ поверхностный: модель выдала неглубокий ответ, с очень слабой степенью проработки.

1: Ответ неглубокий, но приемлемый: модель демонстрирует приемлемую степень проработки, но ответу не хватает глубины и/или детализации.

2: Модель выдает отличный, проработанный ответ:
      — Модель демонстрирует всестороннее исследование темы.
      — Модель выдает ответ с необходимой степенью детализации и, если требуется, анализа.",
33,Оценить текст,Художественный,Глубина проработки ответа,"Данный критерий оценивает:

1. Глубину проработки ответа модели:
— Модель должна строить развернутое повествование в рамках жанра или фрагмента: повествование/описание/рассуждение. 
— Сам ответ не должен производить впечатление конспекта, пересказа или незаконченного фрагмента. Задача модели — прорабатывать характеры, детали, вырисовывать мир. Характеры подвижны, эластичны: герои меняются. Если не меняются, то это объяснимо.

2. Этот критерий также оценивает умение модели выстраивать сюжет и вводить сюжетные элементы: последовательность событий, слаженная связь мотивов, умение лавировать между сюжетными линиями, пусть даже очерченными пунктирно, как в малых прозаических формах; умение не терять элементы сюжета и т. п.

Уточнения по отдельным типам задач:
А. Если задача — объективный анализ текста или интерпретация текста, то оценивается глубина анализа/интерпретации:
Это уровень проработки и детализации, с которым модель исследует содержание текста. Этот параметр оценивает способность модели выявлять подтексты, контексты и сложные взаимосвязи между идеями. В качестве параметров могут выступать: 
    — Выявление подтекстов (модель должна распознавать скрытые смыслы и подтексты, которые не выражены напрямую, но имеют значение для полного понимания текста).
    — Контекстуализация (способность учитывать широкий контекст — культурные, исторические, социальные или политические аспекты, которые могут влиять на интерпретацию текста).
    — Анализ структуры (модель должна анализировать структуру текста (например, аргументацию, использование риторических приемов) и оценивать, как эти элементы влияют на общее восприятие содержания).
    — Сравнительный анализ (умение сопоставлять текст с другими источниками или идеями для более глубокого понимания).

Б. Если задача — придумать вопрос к тексту, то оценивается глубина вопроса:
То, насколько глубоко вопрос проникает в содержание текста, требуя для ответа не просто прямого извлечения информации, а ее обобщения, интерпретации или установления связей между различными частями текста.

ВНИМАНИЕ: в этом критерии мы НЕ учитываем наличие избыточной информации («воды»), поскольку в тексте могут быть одновременно глубокая проработка и «вода».","0: В ответе модели мир плоский, характеры плоские, герои пластмассовые, неживые; нет детализации художественного пространства; текст обрывается.

1: Ответ модели недостаточно детализирован; есть удачные вкрапления, внимание к деталям, но остается ощущение искусственности; текст сочетает элементы развернутого повествования и пересказа; сюжет выстроен, но не выдержан, модель теряет контекст.

2: Ответ модели полный, развернутый, без конспекта и немотивированных скачков; характеры проработаны, мир прописан согласно установкам жанра.","Примеры проработки на 2 балла:
Если рассказ — уровень проработки, развернутости, детализации как: Бунин, Чехов, Довлатов, Казаков и др.
Если повесть — как Толстой, Гоголь, Булгаков, Куприн, Лесков и др."
34,Анализ текста (объективный анализ),Публицистический,Глубина проработки ответа,"Данный критерий оценивает, насколько глубокий и проработанный ответ выдает модель (в зависимости от запроса пользователя):
— Модель демонстрирует глубокое погружение в тему и всестороннее ее освещение, при этом использует достоверные источники и приводит статистику (если применимо).
— Модель не просто излагает факты, а использует навыки анализа и интерпретации и гарантирует, что результат убедителен, интересен и отражает все точки зрения на проблему (если иное не предусмотрено запросом или жанром).

Уточнения по отдельным типам задач:
А. Если задача — объективный анализ текста или интерпретация текста, то оценивается глубина анализа/интерпретации:
Это уровень проработки и детализации, с которым модель исследует содержание текста. Этот параметр оценивает способность модели выявлять подтексты, контексты и сложные взаимосвязи между идеями. В качестве параметров могут выступать: 
    — Выявление подтекстов (модель должна распознавать скрытые смыслы и подтексты, которые не выражены напрямую, но имеют значение для полного понимания текста).
    — Контекстуализация (способность учитывать широкий контекст — культурные, исторические, социальные или политические аспекты, которые могут влиять на интерпретацию текста).
    — Анализ структуры (модель должна анализировать структуру текста (например, аргументацию, использование риторических приемов) и оценивать, как эти элементы влияют на общее восприятие содержания).
    — Сравнительный анализ (умение сопоставлять текст с другими источниками или идеями для более глубокого понимания).

Б. Если задача — придумать вопрос к тексту, то оценивается глубина вопроса:
То, насколько глубоко вопрос проникает в содержание текста, требуя для ответа не просто прямого извлечения информации, а ее обобщения, интерпретации или установления связей между различными частями текста.

ВНИМАНИЕ: в этом критерии мы НЕ учитываем наличие избыточной информации («воды»), поскольку в тексте могут быть одновременно глубокая проработка и «вода».
Также не все задачи требуют глубины проработки: в таком случае следует выбрать «Неприменимо».","0: Модель выполнила запрос, но ответ поверхностный, неглубокий, с очень слабой степенью проработки.

1: Модель демонстрирует приемлемую степень проработки, но ответу не хватает глубины, некоторых деталей или точек зрения.

2: Ответ модели отлично проработан, есть разные точки зрения, есть глубина, анализ и достаточно деталей.",
35,Интерпретация текста (субъективная оценка),Официально-деловой,Глубина проработки ответа,"Данный критерий оценивает глубину проработки ответа (в зависимости от запроса пользователя):
— Модель выдает ответ с необходимой степенью детализации и, если требуется, анализа, демонстрирует полноту изложения.
— Модель достигает максимальной степени проработки, точности и ясности.

Уточнения по отдельным типам задач:
А. Если задача — объективный анализ текста или интерпретация текста, то оценивается глубина анализа/интерпретации:
Это уровень проработки и детализации, с которым модель исследует содержание текста. Этот параметр оценивает способность модели выявлять подтексты, контексты и сложные взаимосвязи между идеями. В качестве параметров могут выступать: 
    — Выявление подтекстов (модель должна распознавать скрытые смыслы и подтексты, которые не выражены напрямую, но имеют значение для полного понимания текста).
    — Контекстуализация (способность учитывать широкий контекст — культурные, исторические, социальные или политические аспекты, которые могут влиять на интерпретацию текста).
    — Анализ структуры (модель должна анализировать структуру текста (например, аргументацию, использование риторических приемов) и оценивать, как эти элементы влияют на общее восприятие содержания).
    — Сравнительный анализ (умение сопоставлять текст с другими источниками или идеями для более глубокого понимания).

Б. Если задача — придумать вопрос к тексту, то оценивается глубина вопроса:
То, насколько глубоко вопрос проникает в содержание текста, требуя для ответа не просто прямого извлечения информации, а ее обобщения, интерпретации или установления связей между различными частями текста.

ВНИМАНИЕ: в этом критерии мы НЕ учитываем наличие избыточной информации («воды»), поскольку в тексте могут быть одновременно глубокая проработка и «вода».
Также не все задачи требуют глубины проработки: в таком случае следует выбрать «Неприменимо».","0: Модель выполнила запрос, но ответ поверхностный, неглубокий, с очень слабой степенью проработки.

1: Модель демонстрирует приемлемую степень проработки, но ответу не хватает глубины и/или детализации.

2: Ответ модели отлично проработан, есть (в зависимости от необходимости) глубина, анализ и достаточно деталей.
","Примеры для задачи Придумать вопрос к тексту:

0 баллов — если в тексте есть фраза «Договор вступает в силу с 1 января 2024 года, то вопрос «Когда вступает в силу договор?» — это поверхностный вопрос, так как ответ просто дублирует информацию из текста.
1 балл — если в тексте описаны условия договора с разными этапами и сроками, то вопрос «Какова общая продолжительность выполнения условий договора?» требует несложного размышления, так как необходимо проанализировать несколько частей текста, сложить сроки.
2 балла — если в тексте приведены разные варианты решения проблемы, но не указано, какой вариант лучше, то вопрос «Какой вариант решения проблемы является наиболее эффективным и почему?» — это вопрос высокого уровня, так как нужно не только проанализировать текст, но и сделать собственный вывод, опираясь на текст.

Примеры для задачи Напиши отзыв на пресс-релиз:

0 баллов — ответ модели: «Пресс-релиз о новом российском аналоге Zoom неинтересен. В нем нет объяснения, зачем нужны онлайн-уроки. Лучше учиться в классе. Платформа не сможет заменить живое общение».
1 балл — ответ модели: «В пресс-релизе говорится о новой платформе ЯВШКОЛЕ.ОНЛАЙН, которая должна помочь в онлайн-обучении. Это, похоже, хороший шаг, так как сейчас много людей используют Zoom. Однако нет уверенности, что она сможет действительно превзойти Zoom. Нужно больше информации о том, как именно она работает и чем отличается от других платформ. В целом это может быть полезно для школ и вузов, но нужно подождать, чтобы увидеть результаты».
2 балла — ответ модели: «Пресс-релиз о предложении интерактивной системы ЯВШКОЛЕ.ОНЛАЙН для онлайн-обучения представляет собой значимый шаг в развитии образовательных технологий в России. В нем выявляются ключевые подтексты, такие как стремление к независимости от зарубежных платформ и необходимость адаптации образовательного процесса к новым условиям.
Контекстуально важно отметить, что пандемия COVID-19 подтолкнула многие страны к активному использованию онлайн-обучения, и сейчас перед Россией стоит задача создания собственных решений, которые смогут обеспечить качественное образование. Сравнительный анализ с Zoom позволяет понять преимущества новой платформы — ее функционал для объединения больших групп участников и возможности для проведения разнообразных мероприятий.
Кроме того, структура текста хорошо организована: сначала представляется проблема, затем решение и его преимущества. Это позволяет читателю легко следовать логике авторов. Таким образом, пресс-релиз не только информирует о новой системе, но и создает контекст для ее актуальности и необходимости в условиях современного образования»."
